HEADER,FRU Name,FRU Version,LossDate,LossVersion,NumSegments
HDRDATA,CHM6,P1B3,10-15-2020,0.1.5,1
SEGHEADER,No of Records
SEGDATA,256
RECHEADER,Link ID,mdB,Souce,Destination
DATA,74,10434,TMZ_BCM2_Port_TX_3,TMZ_BCM3_Host_RX_3
DATA,75,9153,TMZ_BCM2_Port_TX_2,TMZ_BCM3_Host_RX_2
DATA,76,7938,TMZ_BCM3_Host_TX_0,TMZ_BCM2_Port_RX_0
DATA,77,8430,TMZ_BCM3_Host_TX_1,TMZ_BCM2_Port_RX_1
DATA,78,10174,TMZ_BCM3_Host_TX_3,TMZ_BCM2_Port_RX_3
DATA,79,9413,TMZ_BCM3_Host_TX_2,TMZ_BCM2_Port_RX_2
DATA,80,12948,BMZ_BCM2_Port_TX_1,BMZ_BCM3_Host_RX_1
DATA,81,13492,BMZ_BCM2_Port_TX_0,BMZ_BCM3_Host_RX_0
DATA,82,10434,BMZ_BCM2_Port_TX_3,BMZ_BCM3_Host_RX_3
DATA,83,9153,BMZ_BCM2_Port_TX_2,BMZ_BCM3_Host_RX_2
DATA,84,8430,BMZ_BCM3_Host_TX_1,BMZ_BCM2_Port_RX_1
DATA,85,7938,BMZ_BCM3_Host_TX_0,BMZ_BCM2_Port_RX_0
DATA,86,10174,BMZ_BCM3_Host_TX_3,BMZ_BCM2_Port_RX_3
DATA,87,9413,BMZ_BCM3_Host_TX_2,BMZ_BCM2_Port_RX_2
DATA,88,4537,BMZ_BCM1_Port_TX_0,BMZ_BCM3_Host_RX_4
DATA,89,4836,BMZ_BCM1_Port_TX_1,BMZ_BCM3_Host_RX_5
DATA,90,5242,BMZ_BCM1_Port_TX_2,BMZ_BCM3_Host_RX_6
DATA,91,4727,BMZ_BCM1_Port_TX_3,BMZ_BCM3_Host_RX_7
DATA,92,5080,BMZ_BCM3_Host_TX_4,BMZ_BCM1_Port_RX_0
DATA,93,5098,BMZ_BCM3_Host_TX_5,BMZ_BCM1_Port_RX_1
DATA,94,4832,BMZ_BCM3_Host_TX_6,BMZ_BCM1_Port_RX_2
DATA,95,4747,BMZ_BCM3_Host_TX_7,BMZ_BCM1_Port_RX_3
DATA,96,3037,TMZ_BCM3_Port_TX_8,TMZ_QSFP_P5_TX_1
DATA,97,3442,TMZ_BCM3_Port_TX_9,TMZ_QSFP_P5_TX_2
DATA,98,3122,TMZ_BCM3_Port_TX_10,TMZ_QSFP_P5_TX_3
DATA,99,3645,TMZ_BCM3_Port_TX_11,TMZ_QSFP_P5_TX_4
DATA,100,3327,TMZ_BCM3_Port_TX_12,TMZ_QSFP_P6_TX_1
DATA,101,3011,TMZ_BCM3_Port_TX_13,TMZ_QSFP_P6_TX_2
DATA,102,3695,TMZ_BCM3_Port_TX_14,TMZ_QSFP_P6_TX_3
DATA,103,3463,TMZ_BCM3_Port_TX_15,TMZ_QSFP_P6_TX_4
DATA,104,3160,TMZ_BCM1_Port_TX_8,TMZ_QSFP_P7_TX_1
